Spectrum No,Lat,Lon,lheight,dose,Cs_G,TC_g
346,47.97160109,16.50673382,13.53345,29.57967975,369.4109839,395.0555115
347,47.97158595,16.50676362,13.53653347,27.10868674,302.2108793,398.5531921
348,47.97157119,16.5067924,13.46772003,18.35042107,202.8833463,363.2151794
349,47.97155415,16.50682569,13.40219997,12.9323225,98.18738137,319.065918
350,47.97153879,16.50685572,13.48604,13.08613169,47.24262137,284.8121643
351,47.97151933,16.50689463,13.46,10.84023157,5.316293684,283.8694458
352,47.97150453,16.50692411,13.4669712,10.96211478,0,241.2743988
353,47.97149042,16.50695126,13.46274998,9.212082863,0,203.8862762
354,47.9714737,16.50698295,13.43346693,8.89117527,0,174.776825
355,47.97145973,16.50701072,13.43650301,9.927886009,1.881605148,164.2479706
356,47.97143906,16.5070519,13.42648649,9.597198988,3.505880246,155.9101715
357,47.97142279,16.50708222,13.41647647,9.336462846,11.05911981,149.2547607
358,47.97140781,16.50711017,13.40646354,9.830715293,9.789787487,176.5297852
359,47.97139249,16.50713931,13.40352648,9.229559679,6.325539325,201.7874603
360,47.97137378,16.50717515,13.41,8.430244446,4.479288356,173.6144104
361,47.97135635,16.50720831,13.40288712,9.63465023,0,172.4157715
362,47.97134026,16.50723852,13.38645,9.842255802,0,209.1131287
363,47.97132562,16.50726602,13.3479021,10.27460766,0,206.6637573
364,47.97131074,16.50729397,13.29,10.68392086,0,221.329071
365,47.97128953,16.50733239,13.29702703,9.566254616,4.113378525,216.8919983
366,47.97127234,16.50736489,13.29586585,9.858297348,6.274234295,183.6866608
367,47.97125667,16.50739505,13.26290581,9.076799568,13.62671228,132.9709778
368,47.97124103,16.5074251,13.20363636,10.2129764,10.4461885,169.2125244
369,47.97122296,16.50745929,13.15926998,11.41935253,0,214.3547668
370,47.97120479,16.5074933,13.22641642,9.37173543,0,197.2558899
371,47.97118841,16.50752387,13.20561439,10.77939034,0.433565274,170.9362335
372,47.97117311,16.50755235,12.75160033,9.108063698,0,166.7208557
373,47.97115735,16.5075812,12.38309628,11.20750501,0,235.0567627
374,47.97113808,16.50761768,13.09804999,9.626630783,0,215.8850098
