Lat,Lon,Dose
47.9747231,16.5124181,0.03
47.9747231,16.5124181,0.026
47.9747293,16.5123983,0.026
47.974736,16.5123797,0.03
47.974736,16.5123797,0.03
47.9747419,16.5123622,0.031
47.9747419,16.5123622,0.037
47.9747485,16.5123454,0.044
47.9747485,16.5123454,0.045
47.9747551,16.5123275,0.051
47.9747609,16.5123095,0.049
47.9747609,16.5123095,0.043
47.9747674,16.512295,0.045
47.9747674,16.512295,0.049
47.9747729,16.5122812,0.051
47.9747792,16.5122667,0.049
47.9747792,16.5122667,0.051
47.9747858,16.5122553,0.052
47.9747858,16.5122553,0.057
47.9747923,16.5122435,0.048
47.9747923,16.5122435,0.041
47.9747989,16.5122305,0.048
47.9747989,16.5122305,0.049
47.9748055,16.5122171,0.05
47.9748121,16.5122061,0.052
47.9748121,16.5122061,0.051
47.9748174,16.5121944,0.062
47.9748174,16.5121944,0.06
47.9748222,16.5121791,0.051
47.9748273,16.5121652,0.053
47.9748273,16.5121652,0.047
47.9748328,16.5121624,0.044
47.9748328,16.5121624,0.049
47.9748405,16.5121705,0.046
47.9748405,16.5121705,0.047
47.9748462,16.5121864,0.047
47.9748462,16.5121864,0.053
47.9748462,16.5122038,0.048
47.974842,16.5122177,0.045
47.974842,16.5122177,0.04
47.9748388,16.5122304,0.04
47.9748335,16.5122423,0.038
47.9748335,16.5122423,0.035
47.9748279,16.5122549,0.032
47.9748247,16.512268,0.04
47.9748247,16.512268,0.037
47.9748214,16.5122799,0.047
47.9748214,16.5122799,0.039
47.9748158,16.5122915,0.047
47.9748103,16.5123007,0.049
47.9748103,16.5123007,0.043
47.9748014,16.5123136,0.035
47.9748014,16.5123136,0.033
47.9747928,16.5123266,0.03
47.9747928,16.5123266,0.028
47.9747866,16.5123377,0.03
47.9747813,16.5123493,0.028
47.9747813,16.5123493,0.029
47.9747728,16.5123644,0.034
47.9747728,16.5123644,0.034
47.9747631,16.5123807,0.034
47.9747631,16.5123807,0.035
47.974753,16.5123937,0.036
47.9747464,16.5124059,0.033
47.9747464,16.5124059,0.034
47.97474,16.512418,0.033
47.97474,16.512418,0.03
47.9747311,16.5124313,0.041
47.9747211,16.5124454,0.032
47.9747211,16.5124454,0.031
47.9747122,16.5124624,0.029
47.9747122,16.5124624,0.039
47.9747016,16.5124795,0.038
47.9747016,16.5124795,0.034
47.9746888,16.512494,0.033
47.9746766,16.5125066,0.031
47.9746766,16.5125066,0.034
47.974666,16.5125234,0.031
47.974666,16.5125234,0.029
47.9746549,16.5125414,0.033
47.9746549,16.5125414,0.037
47.9746455,16.5125583,0.036
47.9746273,16.5125691,0.033
47.9746273,16.5125691,0.031
47.9746111,16.5125788,0.027
47.9746111,16.5125788,0.034
47.9746045,16.5125904,0.041
47.9746045,16.5125904,0.042
47.9746042,16.5126042,0.043
47.9746042,16.5126042,0.039
47.9746079,16.512618,0.039
47.9746096,16.5126273,0.044
47.9746096,16.5126273,0.036
47.9746137,16.5126351,0.034
47.9746137,16.5126351,0.031
47.9746217,16.5126353,0.037
47.9746217,16.5126353,0.033
47.974629,16.512628,0.03
47.9746345,16.5126163,0.035
47.9746345,16.5126163,0.039
47.9746405,16.5126027,0.037
47.9746405,16.5126027,0.033
47.9746491,16.5125876,0.03
47.9746491,16.5125876,0.03
47.974662,16.5125751,0.029
47.9746743,16.5125632,0.027
47.9746743,16.5125632,0.026
47.9746849,16.5125514,0.029
47.9746849,16.5125514,0.026
47.974694,16.5125408,0.024
47.974694,16.5125408,0.03
47.9747025,16.5125305,0.032
47.9747025,16.5125305,0.031
47.9747145,16.5125167,0.033
47.974724,16.512502,0.031
47.974724,16.512502,0.031
47.9747351,16.5124882,0.028
47.9747351,16.5124882,0.031
47.9747467,16.512476,0.029
47.9747559,16.5124627,0.028
47.9747559,16.5124627,0.029
47.9747628,16.51245,0.03
47.9747628,16.51245,0.028
47.9747686,16.5124379,0.031
47.9747686,16.5124379,0.036
47.9747751,16.5124289,0.038
47.9747751,16.5124289,0.041
47.9747844,16.5124186,0.039
47.9747931,16.5124061,0.039
47.9747931,16.5124061,0.037
47.974799,16.5123916,0.035
47.974799,16.5123916,0.034
47.9748076,16.5123766,0.037
47.9748076,16.5123766,0.034
47.9748184,16.5123628,0.043
47.9748277,16.5123482,0.038
47.9748277,16.5123482,0.047
47.974835,16.5123319,0.039
47.974835,16.5123319,0.033
47.9748428,16.5123175,0.037
47.9748428,16.5123175,0.032
47.9748549,16.5123065,0.031
47.9748668,16.512295,0.034
47.9748668,16.512295,0.031
47.9748775,16.5122869,0.036
47.9748775,16.5122869,0.037
47.9748878,16.5122802,0.035
47.9748878,16.5122802,0.037
47.9748994,16.512278,0.038
47.9749075,16.512284,0.035
47.9749075,16.512284,0.036
47.9749124,16.5122983,0.036
47.9749124,16.5122983,0.039
47.9749127,16.512312,0.039
47.9749064,16.5123215,0.039
47.9749064,16.5123215,0.038
47.9748964,16.5123305,0.037
47.9748964,16.5123305,0.036
47.9748875,16.5123402,0.039
47.9748875,16.5123402,0.039
47.9748792,16.512348,0.043
47.9748792,16.512348,0.04
47.9748708,16.5123558,0.043
47.9748708,16.5123558,0.042
47.9748614,16.5123641,0.038
47.9748504,16.5123758,0.038
47.9748504,16.5123758,0.034
47.9748377,16.5123852,0.044
47.9748377,16.5123852,0.04
47.9748279,16.5123959,0.04
47.9748194,16.5124088,0.037
47.9748194,16.5124088,0.037
47.9748194,16.5124088,0.046
47.974811,16.512421,0.049
47.9748037,16.5124338,0.05
47.9748037,16.5124338,0.051
47.9747984,16.5124451,0.052
47.9747984,16.5124451,0.046
47.9747919,16.5124577,0.048
47.9747919,16.5124577,0.044
47.9747856,16.5124736,0.04
47.9747775,16.5124876,0.035
47.9747775,16.5124876,0.038
47.9747714,16.5125007,0.039
47.9747714,16.5125007,0.033
47.9747637,16.5125131,0.032
47.9747637,16.5125131,0.035
47.9747566,16.5125236,0.035
47.9747498,16.5125361,0.036
47.9747498,16.5125361,0.05
47.9747454,16.5125444,0.046
47.9747454,16.5125444,0.044
47.9747408,16.5125562,0.038
47.9747364,16.5125695,0.036
47.9747364,16.5125695,0.038
47.9747263,16.5125813,0.036
47.9747263,16.5125813,0.046
47.9747149,16.5125901,0.045
47.9747149,16.5125901,0.04
47.9747031,16.5126031,0.039
47.9747031,16.5126031,0.035
47.9746924,16.5126153,0.032
47.9746834,16.5126243,0.029
47.9746834,16.5126243,0.028
47.9746726,16.512633,0.029
47.9746726,16.512633,0.029
47.9746622,16.5126411,0.033
47.9746622,16.5126411,0.034
47.9746544,16.5126544,0.033
47.9746552,16.5126697,0.034
47.9746552,16.5126697,0.032
47.9746597,16.5126785,0.027
47.9746597,16.5126785,0.024
47.9746597,16.5126785,0.027
47.9746602,16.5126877,0.029
47.974663,16.5126936,0.035
47.974663,16.5126936,0.04
47.9746652,16.5126958,0.036
47.9746694,16.5126942,0.033
47.9746694,16.5126942,0.036
47.9746765,16.5126891,0.035
47.9746765,16.5126891,0.032
47.9746795,16.5126805,0.028
47.9746795,16.5126805,0.03
47.9746847,16.5126681,0.031
47.9746919,16.5126584,0.028
47.9746919,16.5126584,0.035
47.9747022,16.5126508,0.035
47.9747022,16.5126508,0.031
47.9747136,16.5126427,0.029
47.974723,16.5126332,0.036
47.974723,16.5126332,0.035
47.9747317,16.5126243,0.037
47.9747317,16.5126243,0.036
47.9747378,16.5126101,0.034
47.9747378,16.5126101,0.035
47.9747444,16.5125948,0.034
47.9747444,16.5125948,0.033
47.9747534,16.512577,0.04
47.9747534,16.512577,0.037
47.9747633,16.5125632,0.036
47.9747721,16.5125511,0.035
47.9747721,16.5125511,0.035
47.9747819,16.5125391,0.035
47.9747819,16.5125391,0.041
47.9747896,16.5125262,0.038
47.9747965,16.5125152,0.042
47.9747965,16.5125152,0.046
47.9748033,16.512506,0.052
47.9748033,16.512506,0.087
47.9748101,16.5125024,0.114
47.9748101,16.5125024,0.129
47.9748148,16.5125008,0.143
47.9748174,16.5125001,0.156
47.9748174,16.5125001,0.165
47.9748193,16.5124994,0.17
47.9748193,16.5124994,0.165
47.9748229,16.5125008,0.161
47.9748271,16.5124988,0.151
47.9748271,16.5124988,0.15
47.9748316,16.5124927,0.138
47.9748316,16.5124927,0.116
47.9748407,16.5124809,0.099
47.9748407,16.5124809,0.088
47.9748505,16.5124693,0.087
47.9748595,16.5124575,0.072
47.9748595,16.5124575,0.056
47.9748693,16.5124471,0.055
47.9748693,16.5124471,0.05
47.9748793,16.5124356,0.04
47.9748869,16.5124224,0.042
47.9748869,16.5124224,0.038
47.9748941,16.5124102,0.039
47.9748941,16.5124102,0.039
47.9749038,16.5124013,0.045
47.9749038,16.5124013,0.039
47.974914,16.5123888,0.039
47.9749264,16.5123777,0.038
47.9749264,16.5123777,0.036
47.9749351,16.5123745,0.039
47.9749351,16.5123745,0.037
47.9749431,16.5123839,0.033
47.9749431,16.5123839,0.042
47.974947,16.5123998,0.052
47.9749458,16.5124182,0.045
47.9749458,16.5124182,0.048
47.974939,16.5124308,0.043
47.974939,16.5124308,0.038
47.9749325,16.5124434,0.033
47.9749325,16.5124434,0.031
47.9749252,16.5124548,0.035
47.9749182,16.5124654,0.039
47.9749182,16.5124654,0.035
47.9749103,16.5124766,0.044
47.9749103,16.5124766,0.043
47.9749057,16.5124904,0.044
47.9749057,16.5124904,0.043
47.9749037,16.5125066,0.05
47.9748983,16.5125245,0.051
47.9748983,16.5125245,0.047
47.9748906,16.5125388,0.049
47.9748906,16.5125388,0.058
47.9748809,16.5125484,0.051
47.9748809,16.5125484,0.043
47.9748708,16.5125575,0.045
47.9748619,16.5125675,0.044
47.9748619,16.5125675,0.043
47.9748535,16.5125801,0.044
47.9748535,16.5125801,0.046
47.9748456,16.5125949,0.057
47.9748456,16.5125949,0.063
47.9748372,16.5126062,0.055
47.9748372,16.5126062,0.051
47.9748298,16.5126165,0.041
47.9748232,16.5126268,0.044
47.9748232,16.5126268,0.042
47.9748144,16.5126359,0.038
47.9748144,16.5126359,0.042
47.9748012,16.512642,0.043
47.9748012,16.512642,0.039
47.9747889,16.5126493,0.043
47.9747724,16.5126505,0.039
47.9747724,16.5126505,0.036
47.9747604,16.5126553,0.031
47.9747604,16.5126553,0.033
47.9747473,16.5126623,0.035
47.9747473,16.5126623,0.033
47.9747352,16.5126692,0.034
47.9747352,16.5126692,0.04
47.974721,16.5126723,0.037
47.9747083,16.5126785,0.038
47.9747083,16.5126785,0.037
47.9746952,16.5126886,0.041
47.9746952,16.5126886,0.038
47.974687,16.5127065,0.035
47.974687,16.5127065,0.035
47.9746812,16.5127229,0.041
47.9746827,16.512741,0.039
47.9746827,16.512741,0.036
47.9746893,16.512757,0.037
47.9746893,16.512757,0.041
47.974697,16.5127671,0.042
47.9747032,16.5127744,0.042
47.9747032,16.5127744,0.036
47.9747062,16.5127764,0.044
47.9747062,16.5127764,0.041
47.9747117,16.5127789,0.036
47.9747117,16.5127789,0.041
47.974718,16.5127792,0.038
47.9747269,16.512778,0.035
47.9747269,16.512778,0.041
47.9747353,16.5127781,0.032
47.9747353,16.5127781,0.031
47.9747424,16.512777,0.036
47.9747424,16.512777,0.034
47.9747514,16.5127727,0.036
47.9747514,16.5127727,0.032
47.9747623,16.5127675,0.033
47.9747701,16.5127623,0.038
47.9747701,16.5127623,0.045
47.9747772,16.5127562,0.041
47.9747772,16.5127562,0.034
47.9747863,16.5127494,0.04
47.9747863,16.5127494,0.037
47.9747915,16.5127426,0.041
47.9747915,16.5127426,0.036
47.9747954,16.5127401,0.042
47.9747979,16.5127359,0.048
47.9747979,16.5127359,0.046
47.9747998,16.5127275,0.046
47.9747998,16.5127275,0.039
47.9748025,16.5127199,0.04
47.9748056,16.5127118,0.04
47.9748056,16.5127118,0.034
47.9748101,16.5127034,0.04
47.9748149,16.512695,0.041
47.9748149,16.512695,0.037
47.9748186,16.5126866,0.036
47.9748186,16.5126866,0.037
47.9748231,16.512677,0.037
47.9748231,16.512677,0.035
47.9748278,16.5126658,0.032
47.9748278,16.5126658,0.036
47.9748351,16.5126553,0.036
47.9748351,16.5126553,0.029
47.9748432,16.5126452,0.035
47.9748506,16.5126343,0.041
47.9748506,16.5126343,0.034
47.9748587,16.5126251,0.033
47.9748587,16.5126251,0.031
47.974867,16.5126166,0.035
47.9748766,16.5126096,0.037
47.9748766,16.5126096,0.038
47.9748856,16.5126027,0.039
47.9748856,16.5126027,0.036
47.974894,16.5125939,0.034
47.974894,16.5125939,0.038
47.9749034,16.5125839,0.04
47.9749034,16.5125839,0.042
47.9749143,16.5125749,0.04
47.9749247,16.5125652,0.04
47.9749247,16.5125652,0.041
47.9749337,16.5125541,0.042
47.9749337,16.5125541,0.046
47.9749457,16.5125438,0.042
47.9749457,16.5125438,0.037
47.9749577,16.512534,0.034
47.9749685,16.5125278,0.029
47.9749685,16.5125278,0.031
47.9749848,16.5125232,0.035
47.9749848,16.5125232,0.039
47.9749957,16.5125299,0.033
47.9749957,16.5125299,0.037
47.9750032,16.5125423,0.04
47.9750032,16.5125423,0.045
47.9750096,16.5125565,0.045
47.9750096,16.5125565,0.049
47.9750101,16.5125706,0.051
47.9750101,16.5125706,0.05
47.9750038,16.5125822,0.046
47.9749925,16.5125926,0.047
47.9749925,16.5125926,0.043
47.9749847,16.5126047,0.038
47.9749847,16.5126047,0.036
47.9749775,16.5126176,0.033
47.9749775,16.5126176,0.035
47.9749704,16.5126316,0.043
47.9749704,16.5126316,0.041
47.9749636,16.5126443,0.042
47.9749636,16.5126443,0.043
47.9749555,16.5126573,0.041
47.9749473,16.5126709,0.036
47.9749473,16.5126709,0.043
47.97494,16.5126868,0.044
47.97494,16.5126868,0.041
47.9749335,16.5127038,0.054
47.9749335,16.5127038,0.045
47.974926,16.512722,0.046
47.974926,16.512722,0.048
47.9749188,16.512738,0.05
47.9749188,16.512738,0.046
47.9749117,16.5127532,0.045
47.9749049,16.5127672,0.042
47.9749049,16.5127672,0.04
47.9748983,16.5127796,0.035
47.9748983,16.5127796,0.037
47.9748918,16.512795,0.042
47.9748918,16.512795,0.04
47.974884,16.5128091,0.042
47.9748758,16.5128225,0.046
47.9748758,16.5128225,0.044
47.9748638,16.5128369,0.039
47.9748638,16.5128369,0.04
47.9748528,16.5128478,0.039
47.9748425,16.512859,0.044
47.9748425,16.512859,0.049
47.9748314,16.5128683,0.048
47.9748314,16.5128683,0.042
47.9748206,16.5128754,0.039
47.9748206,16.5128754,0.044
47.9748105,16.5128836,0.044
47.9748084,16.5128946,0.044
47.9748084,16.5128946,0.042
47.9748132,16.5129078,0.04
47.9748132,16.5129078,0.041
47.9748219,16.512915,0.038
47.9748219,16.512915,0.041
47.9748338,16.5129131,0.043
47.9748408,16.5129034,0.044
47.9748408,16.5129034,0.047
47.9748435,16.5128909,0.042
47.9748435,16.5128909,0.046
47.9748458,16.5128804,0.045
47.9748458,16.5128804,0.047
47.9748482,16.5128653,0.044
47.9748482,16.5128653,0.039
47.9748521,16.5128516,0.034
47.9748612,16.5128384,0.044
47.9748612,16.5128384,0.041
47.9748714,16.5128266,0.038
47.9748816,16.5128149,0.041
47.9748816,16.5128149,0.047
47.9748893,16.5128029,0.051
47.9748975,16.512792,0.044
47.9748975,16.512792,0.042
47.9749058,16.5127819,0.048
47.9749058,16.5127819,0.046
47.974913,16.5127709,0.044
47.9749193,16.5127553,0.041
47.9749193,16.5127553,0.04
47.9749246,16.5127399,0.042
47.9749246,16.5127399,0.053
47.9749322,16.5127238,0.053
47.9749396,16.5127099,0.055
47.9749396,16.5127099,0.059
47.9749503,16.5126969,0.056
47.9749503,16.5126969,0.052
47.9749621,16.5126857,0.057
47.9749621,16.5126857,0.05
47.9749726,16.5126737,0.048
47.9749726,16.5126737,0.049
47.9749803,16.5126617,0.053
47.9749882,16.5126483,0.047
47.9749882,16.5126483,0.045
47.974996,16.5126334,0.051
47.974996,16.5126334,0.054
47.9750056,16.5126163,0.051
47.9750056,16.5126163,0.043
47.9750169,16.5125996,0.037
47.9750283,16.5125841,0.041
47.9750283,16.5125841,0.037
47.9750401,16.512569,0.045
