timestamp,lat,lon,Total,Countrate,U238,K40,Th232,Cs137,Height,Press,Temp,Hum
1751446003867,47.97072782119107,16.5065730217866,425,142,26.367,132.334,29.084,-0.337,249.15257667493796,997.1008128243512,32.23168163672654,36.233273453093815
1751446006870,47.97072911866126,16.506257469929007,517,175,18.028,342.349,28.383,-1.982,249.5279589249493,997.113867680798,32.25166583541147,36.19166583541147
1751445964837,47.970742710922785,16.507702267231636,407,139,25.793,293.033,13.192,6.131,249.53673917137476,997.605722005988,31.921961077844312,36.60215568862275
1751445958832,47.970743728197675,16.50770672776163,445,162,32.541,191.85,16.368,-2.764,246.66278779069768,997.7002966067865,31.872000998003994,36.63
1751445973844,47.9707444066539,16.50769762991862,388,125,23.856,273.88,3.219,22.481,252.62736572522738,997.2718471057884,31.99189620758483,36.53810379241517
1751446024885,47.97074442126335,16.507828610097867,471,171,36.771,267.188,12.937,16.962,247.15276868327402,997.2906338323354,32.38308383233533,36.03383233532934
1751445946824,47.970746405653706,16.507707172236245,435,163,34.14,258.188,14.428,-0.718,246.38538061585058,998.029326996008,31.764181636726548,36.76372754491018
1751446066924,47.970746987540984,16.50819831409836,490,162,21.351,322.696,20.669,0.263,234.35515081967213,998.024699001996,32.68127744510978,35.822554890219564
1751446054912,47.97074799515982,16.50818699260274,485,154,9.645,372.275,25.888,25.577,235.30578264840184,997.5935209580838,32.601347305389226,35.82730538922156
1751446063920,47.97074899381563,16.508199518786466,526,179,37.425,404.407,8.773,11.692,234.52197899649943,997.9220094264339,32.66129177057356,35.82
1751446712519,47.97075076290957,16.50820149890782,512,166,21.091,305.626,18.825,7.385,232.15545827872435,998.6588131736528,35.49,35.067155688622755
1751446057916,47.970751528363046,16.50820181491086,481,159,26.704,140.199,26.299,4.205,235.1565656401945,997.7152853366583,32.62133665835411,35.82
1751446703510,47.97075200404814,16.5081995202407,482,174,33.055,78.081,30.562,8.462,232.32709737417943,998.6450830339322,35.46219560878244,35.0934131736527
1751446051912,47.97075206450344,16.508166645526057,492,175,38.27,262.62,16.887,-1.826,236.4491140609636,997.4696490773068,32.581381546134665,35.85447381546135
1751446697505,47.97075287397733,16.50819707806801,517,177,27.4,453.255,-2.074,10.094,232.597412518482,998.6468658682634,35.44223552894211,35.10223552894212
1751447084821,47.97075323448836,16.507374033676232,444,146,34.16,72.482,17.477,-4.416,240.5931997834326,997.4407569338211,35.92,32.89
1751446721527,47.97075444474863,16.508173880089597,494,160,36.915,239.229,17.833,3.586,238.5644225983076,998.6441898753117,35.512084788029924,34.975830423940145
1751446048910,47.97075729286101,16.508148656084373,453,146,15.567,281.965,23.344,5.511,239.39725148729042,997.3777684289278,32.56140648379053,35.88437406483791
1751445976845,47.97075882684022,16.507622790439857,408,140,7.103,134.29,30.734,16.402,252.56013734290843,997.1824324189525,32.01374064837905,36.50625935162095
1751446045907,47.97076016645339,16.508139466361975,427,134,37.677,273.539,2.026,14.558,240.42560511882996,997.3128428143712,32.54142215568862,35.89
1751446042905,47.97076158413284,16.508141889852396,443,170,33.655,329.551,3.506,16.75,240.24074169741698,997.2479748129675,32.521446384039905,35.9114463840399
1751447261954,47.970761758028694,16.508203945071728,480,163,35.983,172.075,15.452,11.948,232.30429338269317,997.2609368263473,36.13,32.14998502994012
1751446036899,47.970763807238306,16.50809323685969,453,148,2.512,150.1,38.379,11.154,242.20507683741647,997.1747151197604,32.47296407185629,35.94555389221557
1751446033896,47.97076415897563,16.50801347270015,423,142,28.877,296.48,6.608,3.121,242.00401790154152,997.1678157605985,32.45300249376559,35.96
1751447258951,47.97076656626881,16.508188932174363,496,168,36.224,182.296,23.203,18.406,233.22166009340944,997.048934563591,36.13,32.14
1751446724530,47.970766578093304,16.507938105476672,436,148,0.167,284.974,17.809,30.04,243.35022920892496,998.5264929177058,35.52206483790524,34.93587032418952
1751446039902,47.97076739770335,16.508132561818183,440,162,16.935,240.921,21.609,3.239,240.85144210526315,997.1920956087824,32.5014620758483,35.93
1751446021883,47.970767937319245,16.507541293659624,447,155,29.896,191.103,16.555,11.389,247.4248870967742,997.2702959600998,32.36313216957606,36.01530174563592
1751446027891,47.97076817729805,16.507986016388116,439,156,31.693,196.618,16.201,9.241,246.94192479108636,997.2642548628429,32.41154114713217,35.98154114713217
1751447255949,47.97077302620155,16.50817052139535,512,166,30.715,352.315,19.304,21.88,234.259330749354,996.8128616766467,36.14,32.13336826347306
1751446030893,47.970774002460274,16.50799512080984,428,127,1.75,297.481,18.469,35.888,245.35502255253718,997.1903373253493,32.43151696606786,35.988483033932134
1751447081818,47.97077857134909,16.507471332081593,424,134,9.633,116.498,36.15,24.225,240.61987807139545,997.4555633189225,35.92,32.89
1751446727532,47.97078111664841,16.507634244797373,419,141,25.425,119.994,20.142,20.763,246.48915772179626,998.3518596806387,35.53,34.873877245508986
