RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
365,47.974735,16.512459,47.165
366,47.974724,16.512468,48.085
367,47.974716,16.512476,48.295
368,47.974712,16.512482,46.95
369,47.974708,16.512487,46.962
370,47.974701,16.512495,46.461
371,47.974693,16.512503,45.448
372,47.974689,16.512514,45.576
373,47.974678,16.512524,45.756
374,47.974674,16.512533,44.905
375,47.974666,16.512541,45.104
376,47.974659,16.512554,45.109
377,47.974651,16.512562,45.165
378,47.974644,16.512569,45.642
379,47.97464,16.512579,44.759
380,47.974632,16.512585,45.388
381,47.974628,16.51259,45.672
382,47.974628,16.512594,46.126
383,47.974632,16.512594,46.338
384,47.974636,16.512602,47.301
385,47.974636,16.512611,46.434
386,47.97464,16.512613,46.422
387,47.974636,16.512609,46.5
388,47.97464,16.512602,46.312
389,47.974644,16.512594,45.891
390,47.974655,16.512583,45.901
391,47.974666,16.512573,45.628
392,47.974674,16.512566,46.39
393,47.974678,16.512554,45.808
394,47.974682,16.512548,45.711
395,47.974689,16.512541,45.766
396,47.974697,16.512529,45.14
397,47.974705,16.51252,45.06
398,47.974716,16.512508,45.071
399,47.974724,16.512497,45.246
400,47.974731,16.512489,45.104
401,47.974747,16.512482,46.287
402,47.974766,16.512466,47.074
403,47.974773,16.512455,46.526
404,47.974785,16.512436,46.458
405,47.974785,16.512422,46.988
406,47.974789,16.512409,47.725
407,47.9748,16.512396,48.037
408,47.974808,16.512386,48.229
409,47.974812,16.512375,48.404
410,47.974827,16.51236,47.809
411,47.974834,16.512348,48.183
412,47.974838,16.512342,48.935
413,47.974846,16.512331,49.199
414,47.97485,16.512321,50.224
415,47.974853,16.512318,49.717
416,47.974865,16.512306,48.935
417,47.974869,16.512304,48.267
418,47.974876,16.5123,46.821
419,47.97488,16.512297,45.894
420,47.974884,16.512293,46.985
421,47.974888,16.512291,46.397
422,47.974892,16.512295,46.578
423,47.974895,16.512302,46.445
424,47.974895,16.512306,45.538
425,47.974892,16.512318,46.428
426,47.974884,16.512329,47.313
427,47.974876,16.512339,46.344
428,47.974869,16.512344,45.8
429,47.974861,16.512352,45.935
430,47.974857,16.51236,47.353
431,47.974853,16.512369,46.896
432,47.974846,16.512382,47.549
433,47.974842,16.512392,48.587
434,47.974838,16.512405,48.482
435,47.974831,16.512417,49.574
436,47.974827,16.512436,50.21
437,47.974812,16.512455,50.732
438,47.974804,16.512472,51.245
439,47.9748,16.512482,51.132
440,47.974785,16.512489,51.257
441,47.974781,16.512499,50.231
442,47.974777,16.512504,49.976
443,47.974773,16.51251,48.935
444,47.97477,16.512516,47.97
445,47.974762,16.512525,46.835
446,47.974758,16.512533,47.44
447,47.974747,16.512541,47.236
448,47.974739,16.512552,47.455
449,47.974731,16.512562,46.162
450,47.974724,16.512569,45.384
451,47.97472,16.512579,44.68
452,47.974716,16.512588,45.259
453,47.974708,16.512598,45.32
454,47.974705,16.512611,45.476
455,47.974697,16.512621,45.426
456,47.974689,16.512632,45.948
457,47.974682,16.512644,45.947
458,47.974674,16.512655,46.138
459,47.974666,16.512667,46.608
460,47.974659,16.512676,46.58
461,47.974659,16.512684,46.536
462,47.974659,16.512686,47.304
463,47.974666,16.512686,46.792
464,47.974666,16.512688,46.905
465,47.974666,16.512686,47.191
466,47.974666,16.512678,46.795
467,47.974666,16.512672,46.372
468,47.97467,16.512663,45.323
469,47.974678,16.512651,45.148
470,47.974686,16.512642,45.711
471,47.974701,16.51263,45.503
472,47.974708,16.512621,45.215
473,47.974712,16.512615,44.506
474,47.97472,16.512604,44.883
475,47.974731,16.512594,45.805
476,47.974743,16.512585,47.496
477,47.974754,16.512575,47.97
478,47.974762,16.512562,49.663
479,47.97477,16.512552,49.077
480,47.974781,16.512535,48.477
481,47.974792,16.512524,49.672
482,47.9748,16.512516,48.957
483,47.974812,16.512504,48.998
484,47.974815,16.512499,50.577
485,47.974823,16.512491,54.624
486,47.974827,16.512483,62.749
487,47.974834,16.512476,71.052
488,47.974838,16.512468,73.314
489,47.974846,16.512463,71.569
490,47.974853,16.512451,67.337
491,47.974857,16.512442,64.458
492,47.974865,16.512432,61.865
493,47.974872,16.512422,58.068
494,47.97488,16.512409,56.611
495,47.974888,16.512398,55.283
496,47.974895,16.512386,53.484
497,47.974903,16.512375,52.122
498,47.974911,16.512367,51.237
499,47.974918,16.512356,50.671
500,47.974922,16.512344,50.098
501,47.97493,16.512335,49.9
502,47.974934,16.512331,50.865
503,47.974937,16.512331,50.693
504,47.974945,16.512333,50.731
505,47.974945,16.512342,50.521
506,47.974937,16.512356,51.26
507,47.974934,16.512367,50.894
508,47.97493,16.512377,51.547
509,47.974922,16.512386,50.606
510,47.974914,16.512396,50.317
511,47.974911,16.512409,50.092
512,47.974903,16.512419,50.314
513,47.974903,16.51243,50.385
514,47.974895,16.512442,50.602
515,47.974892,16.512449,51.747
516,47.97488,16.512459,51.251
517,47.974876,16.512468,52.268
518,47.974869,16.512478,56.505
519,47.974861,16.512487,69.13
520,47.974853,16.512497,77.428
521,47.974846,16.512504,79.341
522,47.974838,16.512514,79.464
523,47.974827,16.512525,75.144
524,47.974819,16.512537,68.005
525,47.974812,16.512546,63.33
526,47.974808,16.512554,59.21
527,47.974804,16.512566,55.963
528,47.974796,16.512571,54.134
529,47.974785,16.512581,52.293
530,47.974777,16.512592,52.631
531,47.97477,16.512604,51.554
532,47.974762,16.512613,50.598
533,47.974754,16.512623,48.53
534,47.97475,16.512634,48.434
535,47.974743,16.512644,46.558
536,47.974735,16.512653,46.058
537,47.974731,16.512665,45.286
538,47.974724,16.512672,44.981
539,47.974716,16.51268,45.171
540,47.974708,16.51269,44.759
541,47.974701,16.512699,44.54
542,47.974693,16.512712,44.447
543,47.974689,16.512722,45.273
544,47.974693,16.512726,45.605
545,47.974701,16.51273,46.646
546,47.974708,16.512737,46.796
547,47.974708,16.512739,48.287
548,47.974708,16.512741,48.416
549,47.974708,16.512739,47.572
550,47.974716,16.512733,45.313
551,47.974724,16.512726,46.164
552,47.974731,16.512716,45.45
553,47.974739,16.512703,46.251
554,47.974747,16.512693,46.337
555,47.974762,16.51268,45.64
556,47.97477,16.512667,46.262
557,47.974777,16.512653,46.455
558,47.974789,16.512642,46.042
559,47.9748,16.512627,46.346
560,47.974815,16.512604,46.656
561,47.974827,16.512585,47.047
562,47.974846,16.512575,47.295
563,47.974853,16.512566,49.528
564,47.974857,16.51255,51.047
565,47.974865,16.512539,52.087
566,47.974872,16.512527,52.727
567,47.97488,16.512514,52.407
568,47.974888,16.512504,55.554
569,47.974892,16.512491,57.12
570,47.974895,16.512482,57.516
571,47.974903,16.51247,54.829
572,47.974911,16.512455,53.514
573,47.974918,16.512445,52.513
574,47.97493,16.512432,52.902
575,47.974937,16.512421,51.948
576,47.974945,16.512411,51.457
577,47.974953,16.512401,51.009
578,47.974956,16.512396,51.637
579,47.974956,16.512398,51.539
580,47.97496,16.512398,50.836
581,47.97496,16.512405,51.062
582,47.97496,16.512419,51.344
583,47.974956,16.512424,51.906
584,47.974949,16.512436,51.125
585,47.974945,16.512445,50.735
586,47.974937,16.512455,50.3
587,47.97493,16.512466,50.426
588,47.974922,16.51248,49.52
589,47.974914,16.512493,50.006
590,47.974907,16.512506,50.749
591,47.974899,16.512518,51.109
592,47.974884,16.512537,51.406
593,47.974872,16.512546,52
594,47.974865,16.51256,50.924
595,47.974853,16.512575,51.403
596,47.97485,16.512583,51.664
597,47.974842,16.512596,51.154
598,47.974838,16.512609,50.877
599,47.974831,16.512621,50.606
600,47.974827,16.512632,49.843
601,47.974819,16.512642,48.231
602,47.974812,16.512655,48.162
603,47.974804,16.512665,48.577
604,47.974796,16.512674,48.19
605,47.974789,16.512686,47.151
606,47.974781,16.512695,47.417
607,47.974773,16.512703,46.853
608,47.974766,16.512712,46.513
609,47.974758,16.512722,45.945
610,47.97475,16.512733,45.7
611,47.974747,16.512743,45.804
612,47.974735,16.512754,45.829
613,47.974731,16.512766,45.895
614,47.974724,16.512777,45.779
615,47.974716,16.512787,45.812
616,47.974716,16.512791,46.197
617,47.97472,16.512794,46.445
618,47.97472,16.512796,47.016
619,47.97472,16.512796,48.879
620,47.97472,16.512792,49.145
621,47.974728,16.512787,49.225
622,47.974735,16.512779,49.117
623,47.974743,16.51277,48.782
624,47.974758,16.51276,48.202
625,47.974773,16.512752,48.589
626,47.974781,16.512739,48.446
627,47.974792,16.512726,48.608
628,47.974808,16.512714,48.46
629,47.974815,16.512701,48.941
630,47.974838,16.512691,48.13
631,47.974846,16.51268,48.406
632,47.974853,16.512665,48.687
633,47.974857,16.512653,48.399
634,47.974861,16.512646,48.522
635,47.974869,16.512634,48.408
636,47.974876,16.512623,47.946
637,47.974876,16.512615,48.718
638,47.97488,16.512602,48.671
639,47.974892,16.512588,50.569
640,47.974899,16.512577,50.301
641,47.974911,16.512566,50.518
642,47.974918,16.512558,50.626
643,47.974926,16.512548,51.29
644,47.974934,16.512539,51.585
645,47.974945,16.512527,49.706
646,47.974953,16.512514,49.519
647,47.97496,16.512504,50.914
648,47.974968,16.512495,50.132
649,47.974972,16.512487,50.476
650,47.974975,16.512482,49.753
651,47.974975,16.512482,49.988
652,47.974987,16.512487,51.335
653,47.974995,16.512497,50.31
654,47.974995,16.512503,50.251
655,47.974987,16.512512,50.47
656,47.974979,16.512522,49.773
657,47.974972,16.512533,48.967
658,47.974968,16.512545,49.709
659,47.97496,16.512554,50.521
660,47.974953,16.512567,49.705
661,47.974945,16.512583,50.278
662,47.974937,16.512594,51.001
663,47.974926,16.512611,48.879
664,47.974914,16.512628,48.94
665,47.974903,16.512646,48.342
666,47.974899,16.512659,49.077
667,47.974895,16.51267,49.127
668,47.974888,16.512686,49.776
669,47.97488,16.512697,50.113
670,47.974876,16.512711,50.378
671,47.974869,16.512724,50.287
672,47.974861,16.512735,49.675
673,47.974857,16.512747,50.175
674,47.97485,16.512758,51.443
675,47.974842,16.512768,51.741
676,47.974834,16.512779,51.027
677,47.974827,16.512792,51.328
678,47.974819,16.512806,52.247
679,47.974808,16.512814,50.867
680,47.974804,16.512823,51.384
681,47.974796,16.512833,50.71
682,47.974789,16.512844,51.573
683,47.974781,16.512856,50.899
684,47.974773,16.512865,51.473
685,47.974773,16.512869,50.955
686,47.97477,16.512877,51.97
687,47.974773,16.512884,53.047
688,47.974777,16.512884,53.684
689,47.974785,16.512877,52.672
690,47.974792,16.512871,52.536
691,47.9748,16.512857,52.716
692,47.974812,16.512842,52.094
693,47.974827,16.512827,51.623
694,47.974838,16.512815,52.289
695,47.97485,16.5128,53.439
696,47.974861,16.512787,55.386
697,47.974869,16.512773,53.98
698,47.974888,16.51277,53.53
699,47.974907,16.512764,53.035
700,47.974918,16.512752,52.295
701,47.974926,16.512739,51.282
702,47.97493,16.512726,51.02
703,47.974937,16.512712,50.987
704,47.974941,16.512699,55.128
705,47.974953,16.512688,57.81
706,47.97496,16.512678,60.788
707,47.974972,16.512669,62.074
708,47.974979,16.512655,60.189
709,47.974983,16.51264,59.282
710,47.974995,16.512628,57.752
711,47.974998,16.512617,57.242
712,47.975006,16.512607,56.883
713,47.975014,16.512594,55.805
714,47.975021,16.512583,54.46
715,47.975025,16.512571,53.486
716,47.975037,16.512558,53.578
717,47.975044,16.51255,52.968
718,47.975048,16.512546,52.458
719,47.975052,16.512545,52.451
720,47.97506,16.512552,54.304
721,47.975063,16.512556,54.424
722,47.975063,16.51256,53.445
