RECS_fid,Lat_deg,Lon_deg,DosPGIS_nGypH
198,47.974754,16.512634,44.592
199,47.974766,16.512619,44.243
200,47.974773,16.512606,44.934
201,47.974785,16.512592,45.979
202,47.974796,16.512581,45.769
203,47.974808,16.512569,46.495
204,47.974819,16.51256,46.089
205,47.974827,16.512552,47.821
206,47.974838,16.512541,47.275
207,47.974846,16.512527,48.236
208,47.974861,16.51251,53.509
209,47.974865,16.512495,71.087
210,47.974876,16.512483,76.764
211,47.974888,16.512474,73.924
212,47.974892,16.512463,69.862
213,47.974899,16.512451,64.566
214,47.974903,16.512438,60.266
215,47.974911,16.512426,57.647
216,47.974918,16.512415,55.245
217,47.974926,16.512403,53.971
218,47.97493,16.512394,52.069
219,47.974941,16.51238,50.237
220,47.974949,16.512367,49.105
221,47.974956,16.512354,48.452
222,47.974964,16.512342,49.08
223,47.974972,16.512337,49.068
224,47.974979,16.512342,51.002
225,47.974983,16.512352,51.511
226,47.974983,16.512367,51.262
227,47.974975,16.512384,50.889
228,47.974972,16.5124,49.723
229,47.97496,16.512409,50.363
230,47.974949,16.512421,48.779
231,47.974937,16.51243,49.138
232,47.974922,16.51244,49.282
233,47.974911,16.512451,49.7
234,47.974903,16.512463,50.301
235,47.974892,16.512474,48.475
236,47.974884,16.512486,49.236
237,47.974872,16.512497,49.461
238,47.974861,16.512506,52.578
239,47.97485,16.512516,54.118
240,47.974838,16.512527,55.055
241,47.974827,16.512537,55.099
242,47.974812,16.512545,54.747
243,47.9748,16.512556,54.382
244,47.974789,16.512567,52.395
245,47.974781,16.512581,51.932
246,47.974773,16.51259,50.887
247,47.974762,16.512598,49.842
248,47.97475,16.512607,49.178
249,47.974754,16.512617,47.943
250,47.974747,16.51263,47.793
251,47.974739,16.512642,47.182
252,47.974731,16.512653,45.898
253,47.974724,16.512665,45.42
254,47.974716,16.512676,44.135
255,47.974708,16.512688,44.336
256,47.974697,16.512699,44.675
257,47.974686,16.512709,45.211
258,47.974678,16.512718,46.124
259,47.97467,16.512726,47.477
260,47.974666,16.512737,50.176
261,47.974666,16.512749,50.981
262,47.974678,16.512762,50.493
263,47.974686,16.512772,51.99
264,47.974697,16.512779,52.913
265,47.974708,16.512779,52.24
266,47.97472,16.512775,49.989
